,product_name,category,rating,ratings_total,price,link
0,Banana - each,Grocery,4.4,5949.0,0.25,https://www.target.com/p/banana-each/-/A-15013944
1,Avocado - each,Grocery,4.2,2779.0,0.89,https://www.target.com/p/avocado-each/-/A-47095644
2,Strawberries - 1lb Package,Grocery,4.1,5172.0,5.29,https://www.target.com/p/strawberries-1lb-package/-/A-13208903
3,Purified Drinking Water - 24pk/16.9 fl oz Bottles -,Grocery,4.7,4701.0,3.59,https://www.target.com/p/purified-drinking-water-24pk-16-9-fl-oz-bottles-good-gather-8482/-/A-54407104
4,Purified Water - 128 fl oz (1gal),Grocery,4.7,2525.0,1.19,https://www.target.com/p/purified-water-128-fl-oz-1gal-good-38-gather-8482/-/A-54444789
5,Distilled Water - 128 fl oz (1gal),Grocery,4.5,2748.0,1.19,https://www.target.com/p/distilled-water-128-fl-oz-1gal-good-38-gather-8482/-/A-54444818
6,2% Reduced Fat Milk - 1gal,Grocery,4.6,2979.0,2.99,https://www.target.com/p/2-reduced-fat-milk-1gal-good-38-gather-8482/-/A-13276204
7,Organic Bananas - 2lb,Grocery,4.2,2126.0,1.49,https://www.target.com/p/organic-bananas-2lb/-/A-85759852
8,Blueberries - 11.2oz,Grocery,4.5,2311.0,3.19,https://www.target.com/p/blueberries-11-2oz/-/A-13208898
9,Lime - each,Grocery,4.6,1010.0,0.39,https://www.target.com/p/lime-each/-/A-15026731
10,Grade A Large Eggs - 12ct (Packaging May Vary),Grocery,4.6,2526.0,3.59,https://www.target.com/p/grade-a-large-eggs-12ct-good-38-gather-8482-packaging-may-vary/-/A-14713534
11,Lemon - each,Grocery,4.7,1204.0,0.69,https://www.target.com/p/lemon-each/-/A-15013629
12,Grade A Large Eggs - 18ct (Packaging May Vary),Grocery,4.6,2941.0,5.29,https://www.target.com/p/grade-a-large-eggs-18ct-good-38-gather-8482-packaging-may-vary/-/A-14713533
13,Driscoll's Raspberries - 6oz Package,Grocery,4.2,1635.0,3.59,https://www.target.com/p/driscoll-s-raspberries-6oz-package/-/A-13208899
14,Shredded Mexican-Style Cheese - 8oz,Grocery,4.7,1494.0,2.29,https://www.target.com/p/shredded-mexican-style-cheese-8oz-good-38-gather-8482/-/A-54337113
15,Campbell's Condensed Cream of Mushroom Soup - 10.5oz,Grocery,4.7,2852.0,1.39,https://www.target.com/p/campbell-s-condensed-cream-of-mushroom-soup-10-5oz/-/A-14770109
16,Diet Coke - 12pk/12 fl oz Cans,Grocery,4.5,4644.0,6.99,https://www.target.com/p/diet-coke-12pk-12-fl-oz-cans/-/A-12953514
17,Coca-Cola - 12pk/12 fl oz Cans,Grocery,4.7,8958.0,6.99,https://www.target.com/p/coca-cola-12pk-12-fl-oz-cans/-/A-12953464
18,Coca-Cola - 20 fl oz Bottle,Grocery,4.7,8430.0,2.29,https://www.target.com/p/coca-cola-20-fl-oz-bottle/-/A-12953529
19,Navel Orange - each,Grocery,4.4,650.0,0.79,https://www.target.com/p/navel-orange-each/-/A-15026732
20,smartwater - 20 fl oz Bottle,Grocery,4.8,1482.0,2.39,https://www.target.com/p/smartwater-20-fl-oz-bottle/-/A-51494100
21,Libby's 100% Pure Pumpkin - 15oz,Grocery,4.1,948.0,2.79,https://www.target.com/p/libby-s-100-pure-pumpkin-15oz/-/A-14746100
22,Plain Bagels - 20oz/6ct,Grocery,4.8,1173.0,4.29,https://www.target.com/p/thomas-39-plain-bagels-20oz-6ct/-/A-12968882
23,Baby-Cut Carrots - 1lb,Grocery,4.7,1416.0,0.99,https://www.target.com/p/baby-cut-carrots-1lb-good-38-gather-8482/-/A-54556735
24,All Natural 93/7 Ground Beef - 1lb,Grocery,4.6,1065.0,6.69,https://www.target.com/p/all-natural-93-7-ground-beef-1lb-good-38-gather-8482/-/A-13288296
25,Diet Coke - 20 fl oz Bottle,Grocery,4.5,4317.0,2.29,https://www.target.com/p/diet-coke-20-fl-oz-bottle/-/A-12959161
26,Half ; Half - 32 fl oz (1qt),Grocery,4.7,881.0,2.59,https://www.target.com/p/half-38-half-32-fl-oz-1qt-good-38-gather-8482/-/A-54550900
27,1% Low Fat Milk - 1gal,Grocery,4.6,825.0,2.99,https://www.target.com/p/1-low-fat-milk-1gal-good-38-gather-8482/-/A-13276131
28,English Cucumber - each,Grocery,4.4,817.0,1.59,https://www.target.com/p/english-cucumber-each/-/A-13219631
29,Shredded Mozzarella Cheese - 8oz -,Grocery,4.7,1184.0,2.29,https://www.target.com/p/shredded-mozzarella-cheese-8oz-good-gather-8482/-/A-54337119
